Token,Length,Frequency
ಅನುಷ್ಠಾನವನ್ನೂ,13,1
ಹಕ್ಕುಗಳಗೆ,9,1
ದಂಗೆಮಾಡುವುದು,12,1
ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು,16,1
ಕಠಿಣವೂ,6,1
ಕೊನೆಯ,5,1
ಜನಿಸಿದ್ಧಾರೆ,11,1
ಸಮಾನರಾಗಿದ್ದಾರೆ,14,1
ಭೇದ,3,1
ಗಳಲ್ಲಿಯೂ,8,1
ನಿಗೂ,4,1
ಗಣಿಸಲ್ಪಡುವ,10,1
ಸಮಾನಸಂರಕ್ಷಣೆ,12,1
ಕಾಯಿದೆಯಿಂದ,10,1
ಕೃತ್ಯಗಳಿಗೆ,10,1
ರಿಂದಲೂ,6,1
ಕ್ರೂರಕೃಪತ್ಯಗಳಾಗಿ,16,1
ನರು,3,1
ಆಧಾರದ,5,1
ಯೋಗ್ಯ,5,1
ತೋರಿಸಲ್ಪಟ್ವ,11,1
ಗೊಳಿಸುವುದನ್ನು,13,1
ಹಕುಂಟು,6,1
ಜೀವಿಯ,5,1
ಸಾಧಿಸಲೂ,7,1
ಡ್ಯಲ್ಲಿಯೂ,9,1
ಧರ್ಮ,4,1
ಆವಲಂಬನೆ,7,1
ವಾತ್‌ಸ್ವಾತಂತ್ರ್ಯ,16,1
ಎಲ್ಲಿರಿಗೂ,9,1
ಪರಿಣ,4,1
ಇದಲ್ಲದೆ,7,1
ಅಭಾವ,4,1
ಸಂಬಂಧಿಸಿದ,9,1
ಪ್ರಜೆಗಳು,8,1
ಗುರುತರ,6,1
ಒಳಪಟ್ಟ,6,1
ವಿರೋಧಿಸಿ,8,1
ಉಪೇಕ್ಷೆ,7,1
ತಳಹದಿ,5,1
ಮಾಡಿಸುವ,7,1
ಪ್ರಕಟಸುತ್ತದೆ,12,1
ಪುನಃ,4,1
ವಿವೇಚನೆಯ,8,1
ಮನ್ನಣೆಯನ್ನು,11,1
ವರ್ತಿಸಚೀಕು,10,1
ಕಾನೂನಿಕ,7,1
ಜೀವನವುಟ್ಟವನ್ನು,14,1
ಹಕ್ಕುಗಳಲ್ಲಿ,11,1
ಸಭೆಯು,5,1
ವರ್ತನೆಗಾಗಲಿ,11,1
ನಿ,2,1
ಯಪಡಿಸಲ್ಪಡದಿದ್ದರೆ,16,1
ಆಸ್ತಿ,5,1
ಸಾರ್ವಜನಿಕ,9,1
ವಲ್ಲ,4,1
ಸ್ತ್ರೀಪುರಷ,10,1
ಒತ್ತಾ,5,1
ಉಪಾಯವಾಗಿ,8,1
ಕಾಯಿಬೆಯ,7,1
ಸಂಪೂರ್ಣಾನುಭವಕ್ಕೆ,16,1
ದುಷ್ಪ್ರಭುತ್ವ,12,1
ವೃಕ್ತಿಗೆ,8,1
ಪದೆದವರಾದ್ದ,10,1
ಜೀವಿಗಳು,7,1
ಯ,1,1
ಪರ,2,1
ಆಧಿಸತ್ಯಕ್ಕೆ,11,1
ಸಮೇತ,4,1
ಸಾರ್ವತ್ರಿಕವೂ,12,1
ಮೇಲೆ,4,1
ರಿಂದ,4,1
ವಳೆಕೆಯು,7,1
ಕಟ್ಟನಲ್ಲಾದರಿರಲಿ,15,1
ಎಲ್ಲರೂ,6,1
ಸದಾ,3,1
ಬೇಕೆಂದೂ,7,1
ಗುಲಾಮತನ,7,1
ಪ್ರಭುತ್ವದ,9,1
ಕಾನೂನಿನಿಂದಾಗಲಿ,14,1
ಸಮಾ,3,1
ವ್ಯಕ್ತಿಯೆಂದು,12,1
ಯೋಗ್ಯತೆ,7,1
ತರಲೂ,4,1
ತಿರಸ್ಕಾರಗಳು,11,1
ತಾವಾಗಿಯೇ,8,1
ರುವುದರಿಂದಲೂ,11,1
ಸದಸ್ಯರ,6,1
ಗತ್ಯವಾಗಿರುವುದರಿಂದಲೂ,19,1
ನೂತನ,4,1
ಸಮಾನವೂ,6,1
ನಿರೂಪಿಸಿರುವ,11,1
ವಿವೇಚನೆಗೆ,9,1
ತಿಳು,4,1
ಸ್ವತಂತ್ರರಾಗಿಯೇ,14,1
ಜಾತಿ,4,1
ಡಬೇಕಾದರೆ,8,1
ಸದವಿಯಂಥವುಗಳ,11,1
ತಾರತಮ್ಯ,7,1
ಸಮಾನಸಂರಕ್ಷಣೆಯನ್ನು,17,1
ಆವು,3,1
ಕೊಂಡು,5,1
ಧರ್ಮಶಾಂತತೆಗಳ,12,1
ಈಗ,2,1
ಮೂಲಾಧಿಕಾರಗಳಲ್ಲಿರುವ,18,1
ಮಾನ,3,1
ದಾಸತ್ವದಲ್ಲಾಗಲಿ,14,1
ಪ್ರತಿಯೊಬ್ಬ,10,1
ಸಂರಕ್ಷಿಸಲ್ಪ,11,1
ಇಲ್ಲದೆ,6,1
ಒಬ್ಬ,4,1
ಸಾರಲ್ಪಟ್ಟರುವುದೋ,15,1
ಅವರು,4,1
ಭೇದಭಾವವೂ,8,1
ಸಮಸ್ತ,5,1
ಭೇದಭಾವ,6,1
ಮಾಡಿರುವುದರಿಂದಲೂ,15,1
ಶಾಸನದಿಂದಾಗಲಿ,12,1
ಜನಗಳಿಗೂ,7,1
ಸಹಜ,3,1
ಪ್ರಪಂಚದಲ್ಲಿ,11,1
ಅಭಿ,3,1
ಪರಸ್ಪರ,6,1
ರೂಪ,3,1
ಫಲದಾಯಕವಾದ,9,1
ಗೊಳಿಸುವುದು,10,1
ವಾಗಿಯೂ,6,1
ಗೌರವವನ್ನೂ,9,1
ಗೌರವಿಸುವುದನ್ನೂ,14,1
ಅಂಗವೂ,5,1
ಸಹ,2,1
ಯಾವುದೇ,6,1
ರಾಜಕೀಯ,6,1
ವ್ಯಾಪಾರಗಳು,10,1
ವಾದ,3,1
ಕೂಡಲ್ಪಟ್ಟ,9,1
ಕಾರದೊಡನೆ,8,1
ರೀತಿಯ,5,1
ಸ್ವತಂತ್ರವಾಗಿರಲಿ,15,1
ಸಮಾಜದ,5,1
ಅತಿಮುಖ್ಯವಾಗಿರುಪ್ರದರಿಂದಲೂ,24,1
ಕೊನೆಯವರೆಗೂ,10,1
ಪ್ರಗತಿತೇಲ,9,1
ಅಪಮಾನಕರವೂ,9,1
ಜನತೆಯ,5,1
ಭಾಷೆ,4,1
ಅಗತ್ಯವಾಗಿ,9,1
ವರ,2,1
ಯಾಗಿರುವುದರಿಂದಲೂ,15,1
ಅತ್ಯ,4,1
ಗುಲಾವುಗಿರಿಯಲ್ಲಾಗಲಿ,18,1
ಭಾವದಿಂದ,7,1
ನಿರ್ಧಸಿರುವುದರಿಂದಲೂ,18,1
ತಂತ್ರವಾಗಿರಲಿ,12,1
ದೃಢೀಕರಿಸುವುದ,12,1
ಹುಟ್ಟು,6,1
ಅಮಾನುಷವೂ,8,1
ಶಾಸನದಲ್ಲಿ,9,1
ಇಂಥ,3,1
ಶಿಕ್ಷೆಗಾಗಲಿ,11,1
ಸ್ತ್ರೀಪುರುಷರ,12,1
ಹಕ್ಕುಗಳಲ್ಲಿರುವ,14,1
ಕಾರ್ಯಸಿದ್ಧಿಯ,12,1
ಮೂಲಹಕ್ಕುಗಳನ್ನು,14,1
ಜನಾಂಗಗಳಿಗೂ,10,1
ನ್ಯಾಯದ,6,1
ಬೋಧನೆಯಿಂದಲೂ,11,1
ತನಗೆ,4,1
ಅಂಜಿಕೆ,6,1
ಪ್ರಯತ್ನಿಸ,9,1
ಅನುಷ್ಠಾನದಲ್ಲಿ,13,1
ಮನಸ್ಸಿನಲ್ಲಿಟ್ಟು,15,1
ಗಾಂಭೇರ್ಯಗಳಲ್ಲಿರುವ,17,1
ರಿಗೂ,4,1
ಸಡೆಯಲು,6,1
ಉಂಟು,4,1
ದಾರುಣಗೊಳಿಸಿದಂಧಾ,15,1
ಅಧೀನವಾದುದಾಗಿರಲಿ,15,1
ವಿರೋಧವಾಗಿಯೂ,11,1
ರಾಜಕೇಯಾ,7,1
ಆತ್ಮ,4,1
ಮಾಡಲಾಗುವುದಿಲ್ಲ,14,1
ವೃದ್ಧಿಗೊಳಸಲೂ,12,1
ಅನುಭವಿಸುವವೋ,11,1
ಅಂತಃಕರಣವನ್ನು,12,1
ಉತ್ತಮಗೊಳಿಸಲು,12,1
ಅಧವಾ,4,1
﻿,1,1
ಮಾನವನ,5,1
ರಾಷ್ಟ್ರವು,9,1
ಗಳನ್ನೂ,6,1
ಕುಟುಂಬದ,7,1
ಸಾಧಾರಣ,6,1
ಣಿಗೆ,4,1
ಮಹದಾಶಯಿಂಬುದಾಗಿ,14,1
ಕ್ರೂರ,5,1
ವರ್ಣ,4,1
ಅಂಗೀಕರಿಸುವುದು,13,1
ಚಿಳವಣಿಗೆಯನ್ನು,13,1
ಘನತೆ,4,1
ವಿವೇಕ,5,1
ಅನ್ಯಾ,5,1
ಯಾತನೆಯಾಗಲೀ,10,1
ಜೀವನದ,5,1
ವಾಗಿರುವುದು,10,1
ಅಂತಃಕರಣ,7,1
ಜನಾಂಗಗಳಲ್ಲಿ,11,1
ಸಡಯಜೀಕೆಂದು,10,1
ಅನನ್ಯ,5,1
ಸ್ರೇರೇಸ,7,1
ಪಡೆಯಲು,6,1
ಇಲ್ಲವೆ,6,1
ಮಾನವರೂ,6,1
ರಾಷ್ಟ್ರಗಳು,10,1
ಪ್ರಸ್ತಾವನೆ,10,1
ಮನುಷ್ಯನು,8,1
ಹಾರ್ಯವೂ,7,1
ಎಲ್ಲೇ,5,1
ವ್ಯಕ್ತಯೂ,8,1
ನ್ಷಾಯ,5,1
ಅಭಿವೃದ್ಧಿಗೊಳಿಸಲೂ,16,1
ಸಾಧನಗಳಿಂದ,9,1
ಸಹೋದರ,5,1
ಹಕ್ಕುಗಳು,8,1
ಸ್ನೇಹಸಂಬಂಧಗಳ,12,1
ಸಂರಕ್ಷಯ,7,1
ವಿರೋಧ,5,1
ಮುಕ್ತ,5,1
ಹೊಂದಲು,6,1
ಗಳಂದ,4,1
ಹಕ್ಕುಗಳನ್ನು,11,1
ನ್ಯಾಯಾಧಿಸತ್ಯದ,13,1
ಮಿಸಿರುವುದರಿಂದಲೂ,15,1
ಬೇರಾವ,5,1
ಇತರ,3,1
ಪ್ರಪಂಚದಾಗಮನವಾಗಿರುವುದರಿಂದಲೂ,26,1
ಸ್ವಾತಂತ್ರ್ಯಗಳನ್ನೂ,17,1
ಸಲದಾಯಕವೂ,8,1
ತಾನೊಬ್ಬ,7,1
